,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,PHA_TOTAL_UNITS,SECTION8_UNITS_CNT,total_ph_units
1399,1400,GA066,Housing Authority of the City of Jesup,9124272535,9124273309.0,mark_jha@bellsouth.net,9124272535.0,9124273309.0,mark_jha@bellsouth.net,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3003,3004,CA081,Housing Authority of the City of Pleasanton,9259315002,9259315485.0,sbocian@cityofpleasantonca.gov,9259315002.0,9259315482.0,nfialho@ci.pleasanton.ca.gov,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3705,3706,TX191,Taft Housing Authority,3615283000,3615283737.0,cmedrano@sintonha.com,3615283000.0,,taftha@gmail.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3700,3701,TX232,Housing Authority of Beckville,9039476464,9039473230.0,Susan@tatumbeckvillehousing.com,9039476464.0,9039473230.0,susan@tatumbeckvillehousing.com,Substandard Financial,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3008,3009,ID002,Nampa Housing Authority,2084662601,2084661216.0,AndyR@nampahousing.com,2084662601.0,2084661216.0,andyr@nampahousing.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3696,3697,TX132,Housing Authority of Van Alstyne,9035833336,9035832035.0,aminton@texoma.cog.tx.us,9035833336.0,9035832035.0,areider@texomahousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3028,3029,TN057,Ripley Housing Authority,7316351901,7316351948.0,jjones@ripleyhousing.org,7316351901.0,7316351948.0,jjones@ripleyhousing.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2102,2103,AL127,HA ANDALUSIA,3342225871,3342227277.0,andypha@outlook.com,3342225871.0,3342227277.0,andypha@outlook.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2069,2070,MS003,The Housing Authority of the City of McComb,6016847291,6016843181.0,jadams@cableone.net,6016847291.0,6016843181.0,jadams@mccombha.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2051,2052,TN053,McMinnville Housing Authority,9314733286,9314738524.0,mmha@blomand.net,9314733286.0,9314738524.0,mmha@blomand.net,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
